[Sat Aug 06 15:30:44.232942 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2514] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:30:44.235941 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2513] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:30:44.307942 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2514] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:33:59.701942 2022] [authz_core:error] [pid 12412:tid 1500] [client 127.0.0.1:2552] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:33:59.723940 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2556] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:00.039941 2022] [wsgi:error] [pid 12412:tid 1476] [client 127.0.0.1:2557] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:00.055941 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2552] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:00.076944 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2556] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:00.080941 2022] [wsgi:error] [pid 12412:tid 1480] [client 127.0.0.1:2558] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:00.116940 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2556] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:52.385942 2022] [authz_core:error] [pid 12412:tid 1484] [client 127.0.0.1:2565] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/styles.css, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:52.411943 2022] [authz_core:error] [pid 12412:tid 1480] [client 127.0.0.1:2566] AH01630: client denied by server configuration: D:/Projects/python/django/ewedding/ewedding/static/card/main.js, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:52.413943 2022] [wsgi:error] [pid 12412:tid 1484] [client 127.0.0.1:2565] Not Found: /media/wedding_couple2.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:52.427941 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2567] Not Found: /media/wedding_location.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:52.592943 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2567] Not Found: /media/wedding_couple.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:52.594950 2022] [wsgi:error] [pid 12412:tid 1480] [client 127.0.0.1:2566] Not Found: /media/flowers.jpg\r, referer: http://127.0.0.3:9999/
[Sat Aug 06 15:34:52.834942 2022] [wsgi:error] [pid 12412:tid 1500] [client 127.0.0.1:2567] Not Found: /favicon.ico\r, referer: http://127.0.0.3:9999/
